Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
02cMXuIgEkb7J1l5lTihkx,"Overanxiety","UniteUp! -Uni:Birth- Original Soundtrack Selected Edition vol.1","Naoyuki Chikatani",2025-03-23,110433,16,,2025-03-24T12:41:21Z,"","Aniplex Inc.",0.778,0.439,9,-11.236,0,0.038,0.0717,0.657,0.0758,0.858,135.176,3
7mcUb0JTBHnQQQCg3TBV96,"MILLIONS KNIVES - Vocal Ver.","「TRIGUN STAMPEDE」 Original Soundtrack 2","加藤達也,Zinee",2023-03-26,240000,33,,2025-03-18T17:48:18Z,"anime,soundtrack","TOHO animation Records",0.166,0.401,11,-11.21,0,0.0364,0.922,0.752,0.0847,0.18,88.843,4
4Fv2STRNkIHXqIzMYsdNfS,"Immigrant Space Explorer","「TRIGUN STAMPEDE」 Original Soundtrack 1","加藤達也",2023-02-05,250000,28,,2025-03-18T17:27:23Z,"anime,soundtrack","TOHO animation Records",0.203,0.743,6,-10.839,0,0.0502,0.302,0.918,0.126,0.209,101.956,4
7nnACrn6f6JsKskLYKq1Cl,"TOMBI","TOMBI","Kvi Baba",2023-01-06,206509,49,,2025-03-18T10:38:02Z,"j-rap","TOY'S FACTORY",0.67,0.768,11,-7.656,1,0.0382,0.0506,0.0000236,0.139,0.432,131.998,4
04NDerZwPn65UVt0PLq28o,"I Look Alive","Red Wine","Phoneboy",2025-03-13,238586,31,,2025-03-13T11:03:26Z,"","Phoneboy Music",0.37,0.934,9,-4.472,1,0.0713,0.00181,0.00000166,0.141,0.316,171.989,4
2caUiElbiKzoXg7Jq7K0dD,"Everything's Gonna Be Alright","Everything's Gonna Be Alright","Vidusan Kaneswaran,Hi-Polar",2022-07-24,192026,6,,2025-03-12T11:36:58Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Hi-Polar Music",0.746,0.401,2,-8.703,1,0.0719,0.693,0,0.104,0.451,80.041,4
6UUN4R8AFzTAy0t36Gy5sa,"Cappuccino","Cappuccino","Vidusan Kaneswaran,Hi-Polar",2025-03-07,202135,19,,2025-03-12T11:16:19Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Hi-Polar",0.682,0.342,0,-8.232,1,0.0445,0.847,0.00000116,0.114,0.747,151.725,4
5S26nZMoBRVsH3xtRGMv0z,"Houdini (feat. Swarmz & Tion Wayne)","Dissimulation","KSI,Tion Wayne,Swarmz",2020-05-22,168213,47,,2025-03-11T01:24:11Z,"uk drill,drill,grime,afroswing","BMG Rights Management (US) LLC",0.549,0.522,1,-8.471,1,0.219,0.000286,0.0000632,0.13,0.708,104.509,4
0dNliW8cZpIhwE9ZV1suFD,"カモメ","TVアニメ『ハイキュー!!TO THE TOP』オリジナル・サウンドトラック","Yuki Hayashi",2021-03-17,125920,35,,2025-03-07T12:13:55Z,"anime,soundtrack","TOHO animation RECORDS",0.514,0.855,11,-6.493,0,0.0426,0.00118,0.94,0.0499,0.641,140.01,4
4J2HQow52pFt9olOHnYTbk,"Your Man","Nectar","Joji",2020-09-24,163758,71,,2025-03-07T10:55:14Z,"","88rising Music",0.785,0.82,7,-8.73,1,0.0993,0.624,0.165,0.182,0.0525,117.961,4
7MCZ3XpwshroDtTHwPT9n6,"VINCENT","Vermillion's","sumika",2025-03-05,194946,38,,2025-03-06T20:29:09Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.397,0.83,5,-5.095,0,0.0975,0.00817,0.00000854,0.296,0.802,186.122,4
02SuzyI9mS2W1fUrA3NBoQ,"Puss in Boots vs The Cat in the Hat","Puss in Boots vs The Cat in the Hat","Eddiefrb,Keyblade,The Stupendium",2025-01-17,211322,47,,2025-02-24T17:24:38Z,"nerdcore,anime rap","Redhead Records",0.745,0.871,11,-6.857,0,0.23,0.0951,0,0.336,0.59,103.976,4
6woV8uWxn7rcLZxJKYruS1,"Hai Yorokonde","Hai Yorokonde","Kocchi no Kento",2024-05-27,161632,71,,2025-02-24T17:14:45Z,"j-pop","blowout Music Labels",0.784,0.682,11,-11.627,0,0.0692,0.0763,0.000101,0.317,0.826,147.054,4
1kl741F4JVqW36Cte5kRg1,"Miss Sunshine","Miss Sunshine","Surfaces,Arden Jones",2025-02-21,203087,57,,2025-02-22T18:27:52Z,"","Surfaces Music / 10K Projects",0.506,0.85,1,-6.285,0,0.0513,0.000647,0.00143,0.453,0.512,176.085,4
1P59E9uaeejHQ5xu0EG4p6,"First Rate Town","First Rate Town","Good Kid",2023-01-27,122647,55,,2025-02-19T12:34:18Z,"","Good Kid Music Inc.",0.436,0.988,11,-4.371,1,0.0382,0.000113,0.00000771,0.334,0.894,92.493,4
4ZWSdSWiY5k3WsRoI6850g,"deadlines","in time","Zamir",2023-03-03,186780,35,,2025-02-19T12:24:30Z,"","zambino",0.726,0.471,11,-5.927,0,0.139,0.292,0,0.314,0.777,172.027,4
1Y0SesUrQ2MOvToRZ9S63E,"Parlami (A Hundred Flowers)","Parlami (A Hundred Flowers)","The Vanished People",2024-08-28,230973,48,,2025-02-19T11:24:06Z,"","The Vanished People",0.705,0.533,8,-11.116,1,0.0585,0.0176,0.000268,0.4,0.728,112.986,4
1zW2csx1vVJrKfvDrFQNVt,"Jump in the Line","Jump Up Calypso","Harry Belafonte",1961-07-21,221704,66,,2025-02-15T17:28:51Z,"calypso","RCA Records Label",0.594,0.889,5,-7.775,1,0.246,0.768,0,0.124,0.8,116.187,4
5QAJ9MdbIS0vENE7wAt854,"Nevermind","Phoneboy","Phoneboy,Justin Magnaye",2021-04-23,210720,57,,2025-02-12T19:25:49Z,"","Phoneboy Music",0.608,0.768,1,-4.228,1,0.048,0.0228,0,0.0381,0.771,160.065,4
6p5ra9aNCJXhuKxFRkboBn,"Moving Out","Moving Out","Phoneboy",2023-03-24,176320,44,,2025-02-12T18:16:39Z,"","Phoneboy Music",0.49,0.895,7,-5.358,1,0.0459,0.00248,0,0.222,0.787,162.927,4
6CgakQw7oHxpPg5zdqj4ft,"Roses","Phoneboy","Phoneboy",2021-04-23,186000,50,,2025-02-12T18:00:59Z,"","Phoneboy Music",0.602,0.644,1,-5.315,0,0.0391,0.0517,0.00000592,0.0696,0.89,145.165,4
5vdLIDyjCWDzUGx71q3nOa,"I Look Alive","I Look Alive","Phoneboy",2024-10-10,238586,45,,2025-02-12T17:53:10Z,"","Phoneboy Music",0.358,0.943,4,-5.576,1,0.0602,0.00139,0.00297,0.316,0.258,171.991,4
1h8b76GAPc250zeXcrleAC,"Devathai","Unnaale","Sahi Siva",2024-03-27,202285,39,,2025-02-12T00:34:30Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Sahi Siva Music Ltd",0.572,0.537,2,-8.133,0,0.0355,0.781,0.000023,0.353,0.586,140.007,4
6ZMs9aZ1eguvXTNPIHToPh,"Ammamma","Unnaale","Sahi Siva,DEYO,Nithyashree Venkataramanan",2024-03-27,268593,39,,2025-02-12T00:34:25Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Sahi Siva Music Ltd",0.84,0.802,10,-7.683,0,0.196,0.108,0.000223,0.057,0.733,128.021,4
1mQWgJxQZOO1ifq4QJ3x4s,"Rolling Stone","Rolling Stone","BREIMEN",2025-01-10,204480,51,,2025-02-08T17:43:40Z,"japanese indie","Sony Music Labels Inc.",0.643,0.872,1,-5.455,1,0.0754,0.00481,0.00000492,0.0883,0.478,110.035,4
2fQxE0jVrjNMT9oJAXtSJR,"Domino","Who You Are (Platinum Edition)","Jessie J",2011-01-01,231840,77,,2025-02-08T14:11:36Z,"","Lava Music/Republic Records",0.758,0.557,7,-4.568,1,0.034,0.0117,0,0.0418,0.781,126.986,4
1XrLgICxJEqkgDmiuANWC7,"i'd find you","under the rug","phendste",2022-08-12,165714,55,,2025-02-05T12:42:14Z,"bedroom pop","phendste :)",0.717,0.416,6,-12.284,1,0.122,0.421,0.00000296,0.0835,0.642,105.064,4
0TZUaRjZn1CxKy3ZkCi9yH,"Hey, Kid!","Phoneboy","Phoneboy",2021-04-23,212874,52,,2025-02-04T16:38:50Z,"","Phoneboy Music",0.555,0.606,7,-7.072,1,0.0314,0.0346,0,0.111,0.677,82.439,4
2Hm5rPArM5mlSF5bZEzzPT,"GESHUOU","ALOHA INOHA","INOHA",2024-05-03,199830,60,,2025-02-04T11:28:07Z,"","INOHA Publishing",0.559,0.795,0,-7.025,1,0.0272,0.0000908,0.588,0.268,0.963,107.616,4
5BqKtuCFLfZyzfZOwlgW1f,"Wind","Akeboshi","明星 <Akeboshi>",2005-06-22,220600,67,,2025-02-03T01:15:30Z,"anime","Sony Music Direct (Japan) Inc.",0.369,0.484,0,-8.383,0,0.0423,0.475,0.00345,0.0768,0.602,116.621,1
0VGSlDthFLbr5Lp1P6DFuK,"F・L・Y","オプティカル・サンライズ／スペクトラム２","Spectrum",1991-01-21,210389,59,,2025-02-03T00:15:06Z,"city pop","Victor",0.624,0.845,7,-6.974,1,0.075,0.0988,0.000587,0.275,0.948,89.606,4
4qyjogIagZOoEwlfJniEgM,"Till the Curtain Call","Till the Curtain Call","The Vanished People,Lotus Juice",2025-01-31,216300,48,,2025-02-02T23:02:51Z,"japanese vgm","The Vanished People",0.681,0.464,5,-12.188,0,0.108,0.144,0.0000386,0.0632,0.847,100.016,4
12hcBDNBQXzLkGhWILs1mC,"Moments Between","Moments Between","bedfashion",2023-11-10,194017,28,,2025-01-31T19:30:39Z,"","bedfashion",0.685,0.63,2,-7.01,1,0.0915,0.229,0.00692,0.302,0.774,187.909,4
3Zv65grBKEDXvYACQKYl4F,"Televisional","Televisional","Pretoria",2024-08-26,211894,32,,2025-01-31T19:24:16Z,"","Pretoria Music LLC",0.55,0.791,10,-4.716,0,0.0457,0.0504,0,0.141,0.497,107.011,4
3nPHqof0Tzw4YsjFet0GpK,"better days","in time","Zamir",2023-03-03,106701,29,,2025-01-31T15:43:43Z,"","zambino",0.605,0.726,7,-7.83,1,0.044,0.402,0.0000213,0.152,0.336,97.059,4
69Ql3CEEWtQAB8MA63Sl4N,"Keep Up The Loving","Keep Up The Loving","Keanu Bicol",2024-09-13,177089,38,,2025-01-30T11:23:51Z,"","Keanu Bicol Records",0.677,0.679,0,-6.956,1,0.0363,0.01,0.00000155,0.0942,0.774,134.028,4
7yfgJyb5ngrvg8lZbO8p6O,"idwtk (i don't want to know)","from the heart","phendste",2023-10-27,156896,43,,2025-01-30T11:21:22Z,"bedroom pop","phendste :)",0.664,0.554,8,-8.093,1,0.0707,0.946,0.00315,0.317,0.532,100.252,4
4WrDC4KvSIXPKvLjGSzFoF,"Tum Tum (From Enemy - Tamil)","Thaman Beats","Thaman S,Sri Vardhini,Aditi Bhavaraju,Satya Yamini,Roshini JKV,Tejaswini,Vivek",2023-03-02,228567,59,,2025-01-29T11:24:50Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood,kannada pop","Divo Tv Private Limited",0.74,0.762,8,-5.416,1,0.14,0.756,0.000517,0.121,0.919,147.041,3
0NHu2Lo9MWkvhOggEy1bYg,"BOW AND ARROW","BOW AND ARROW","Kenshi Yonezu",2025-01-27,175727,77,,2025-01-29T11:16:02Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.604,0.884,11,-5.457,0,0.171,0.029,0.00000286,0.364,0.693,179.954,4
0iScVKBOQx6EujCxpv5BRs,"今夜は君と","AKASAKI - 2024","AKASAKI",2024-12-11,232134,50,,2025-01-26T16:13:17Z,"j-pop","UME - Global Clearing House",0.581,0.766,11,-6.951,0,0.0922,0.00682,0,0.159,0.653,203.952,4
3oNTJ5qiAQx8xfIbYWWB7W,"I Always Wanted A Brother","Mufasa: The Lion King (Original Motion Picture Soundtrack)","Braelyn Rankins,Theo Somolu,Aaron Pierre,Kelvin Harrison Jr.,Disney",2024-12-13,214506,75,,2025-01-26T09:41:08Z,"","Walt Disney Records",0.758,0.688,6,-7.489,1,0.0765,0.543,0,0.0826,0.696,124.078,4
56ToH3YiSMT51y1H2dygOX,"Rosyln","The Twilight Saga: New Moon (Original Motion Picture Soundtrack) [Deluxe]","Bon Iver,St. Vincent",2009-10-16,289560,53,,2025-01-26T01:05:58Z,"indie folk,art pop","Chop Shop/Atlantic",0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,3
0AlPTC3ChJYKnBLQY11uP6,"Someone To Stay (Acoustic)","Someone To Stay (Acoustic)","Vancouver Sleep Clinic",2023-12-22,237748,56,,2025-01-26T00:54:31Z,"","Cool Online",0.567,0.29,1,-10.665,1,0.0264,0.705,0,0.117,0.196,104.108,4
2U7svZUGvR4tfKdyxv9mXu,"would've been you","would've been you","sombr",2023-11-17,183586,77,,2025-01-26T00:43:26Z,"","Warner Records",0.311,0.379,1,-12.786,1,0.0313,0.738,0.167,0.0954,0.138,79.771,4
2dUPhgv2YYEnbFrLZ16Ojt,"For Sure","For Sure","Ethel Cain",2024-09-05,593346,52,,2025-01-26T00:29:02Z,"","Polyvinyl Records",0.33,0.392,3,-11.685,1,0.0321,0.63,0.52,0.0906,0.0462,123,4
5H82C5QvuYsyimUVo6wODM,"SHINIGAMI","SHINIGAMI","Keanu Bicol",2024-03-22,167487,44,,2025-01-25T17:51:01Z,"","Keanu Bicol Label",0.556,0.936,8,-5.16,1,0.0453,0.000122,0.0000092,0.0634,0.616,102.551,4
7gQgT2O8KlxAyTbHYqiFbv,"evidence","pov: it's ur villain arc","mj apanay",2023-11-22,221424,25,,2025-01-23T20:51:42Z,"","mj apanay",0.856,0.284,1,-8.99,1,0.0555,0.681,0,0.108,0.824,125.787,4
4KMw2BDM1F4noP1SDfCj9z,"Want It Bad","Want It Bad","Cowboy Malfoy",2022-07-07,176160,36,,2025-01-23T20:47:35Z,"","LUSTRE",0.835,0.477,11,-12.851,1,0.0621,0.641,0.000271,0.0974,0.6,124.989,4
0qGTuBcUxUOBLK16E3RxSn,"Perfect Nights","Perfect Nights","The Vanished People,HOHYUN",2024-05-10,187741,43,,2025-01-23T20:24:54Z,"","The Vanished People",0.671,0.561,1,-11.434,1,0.143,0.0131,0.00431,0.438,0.926,154.988,4
3uEbyL0mXGkRUZgcFMSH7B,"Lonely Valentine","Lonely Valentine","jomm,readyaimfire27",2023-12-22,201206,43,,2025-01-23T20:24:47Z,"","cool music for cool people",0.682,0.443,1,-11.418,1,0.0494,0.435,0.00167,0.0937,0.965,139.979,4
2IIE9qJNoazhj61870dgkO,"SPARKLE","MUSIC WORLD","ALI",2023-01-25,265306,25,,2025-01-16T19:54:42Z,"anime,j-pop","Sony Music Labels Inc.",0.594,0.884,4,-4.355,1,0.0409,0.187,0,0.0858,0.77,101.06,4
3Jo4XDtnSvgky2gC40gEwX,"SCOPE","SCOPE","Aimer",2025-01-08,175022,57,,2025-01-16T19:18:40Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.381,0.898,2,-3.779,1,0.114,0.00491,0,0.207,0.539,169.922,4
7qDHY3ZDeKvgPMVZX1whLK,"DALMATIAN","DALMATIAN","PEOPLE 1",2024-12-25,245300,51,,2025-01-16T17:28:25Z,"j-pop","Pollyanna Records",0.691,0.791,1,-5.31,1,0.0584,0.0221,0.00000353,0.0387,0.695,124.024,4
1nGabv7YeYYN6sOvrOhORi,"Falcon Chase","Ninjago: Masters of Spinjitzu™ (Original Television Soundtrack)","Jay Vincent,Michael Kramer",2014-01-01,182346,37,,2025-01-16T16:22:26Z,"","Varese Sarabande",0.148,0.244,9,-16.036,0,0.0377,0.735,0.845,0.0805,0.0392,78.696,3
7vKCBGIwdXGJWTI4q8irw1,"Ninjago Overture","Ninjago: Masters of Spinjitzu™ (Original Television Soundtrack)","Jay Vincent,Michael Kramer",2014-01-01,98560,51,,2025-01-16T16:22:23Z,"","Varese Sarabande",0.565,0.654,2,-11.808,0,0.0303,0.294,0.258,0.126,0.769,105.048,4
1Q6h73UKeNO0AtA1TRS3tL,"LEGO Ninjago The WEEKEND WHIP","LEGO Ninjago: For the Spinners","Ninjago Music,The Fold",2012-10-01,206747,59,,2025-01-16T16:22:05Z,"","JAM Music Company",0.482,0.966,2,-2.348,1,0.0655,0.000398,0,0.312,0.572,160.038,4
